"","species","trt","Estimate","Est.Error","low95","high95"
"1","S. pennellii","H",22.4911073282394,2.71596334248357,16.9744478698418,27.8933936957109
"2","S. peruvianum","H",34.3214262173228,2.6604198313685,28.9350856921206,39.4807960761375
"4","S. chilense","H",30.8275462153155,2.53822156205881,25.74160772421,35.7658037494999
"6","S. chmielewskii","H",30.3448064628838,2.58530186376796,25.2283517060325,35.3506620757705
"7","S. habrochaites","H",29.3844970933693,2.55157040962771,24.257580050267,34.3821997908453
"99","S. pennellii","L",32.2195897258864,2.88414909536968,26.2851890341441,37.5170564506304
"100","S. peruvianum","L",40.140810246156,2.77182603323445,34.0603637471599,45.2345232974204
"102","S. chilense","L",36.3856941534067,2.74488531744185,30.6167402813188,41.32005650767
"104","S. chmielewskii","L",32.7174856795171,2.78716279545866,27.1385270889927,37.8097016588971
"126","S. habrochaites","L",32.5584936382152,2.7727409473811,26.8145315818874,37.626460452116
